x,y,Review
Thu Jun 16 11:52:09 +0000 2016,7.43411E+17,France expels 20 Russians amid new Euro 2016 hooligan alert: Marseille (AFP) – Twenty Russians in... https://t.co/ODPPgNO6le #soccernews
Thu Jun 16 11:52:11 +0000 2016,7.43411E+17,France to Deport 20 Russians for Violence at Euro 2016 https://t.co/RNnD6hgTsB #Sports
Thu Jun 16 11:52:11 +0000 2016,7.43411E+17,#kaskus | Satwa Satwa Peramal Euro 2016 https://t.co/d8Y4Lwjo1f
